Date,Tm,Opp,Pos,PtsO,Pen,Yds,Pts,Pen,Yds
December 31 2017,Denver Broncos,Kansas City Chiefs,Referee,27,4,40,24,4,30
January 21 2018,New England Patriots,Jacksonville Jaguars,Referee,20,6,98,24,1,10
September 9 2018,Los Angeles Chargers,Kansas City Chiefs,Referee,38,6,50,28,7,45
September 16 2018,Washington Redskins,Indianapolis Colts,Referee,21,6,26,9,7,90
September 23 2018,Detroit Lions,New England Patriots,Referee,10,5,38,26,6,70
October 7 2018,Seattle Seahawks,Los Angeles Rams,Referee,33,7,45,31,7,50
October 14 2018,Cincinnati Bengals,Pittsburgh Steelers,Referee,28,9,69,21,6,30
October 21 2018,Philadelphia Eagles,Carolina Panthers,Referee,21,5,78,17,4,35
October 28 2018,Chicago Bears,New York Jets,Referee,10,8,45,24,2,25
November 5 2018,Dallas Cowboys,Tennessee Titans,Referee,28,3,20,14,6,52
