"GameDate","Quarter","Minute","Second","OffenseTeam","DefenseTeam","Down","ToGo","YardLine","Yards","Formation","PlayType","IsIncomplete","IsTouchdown","IsSack","IsInterception","IsFumble","IsTwoPointConversion","IsTwoPointConversionSuccessful","YardLineFixed","YardLineDirection","PenaltyTeam","IsNoPlay","PenaltyType","PenaltyYards","Referee"
2016-10-30,"1","6","55","ARI","CAR","2","20","30","0","UNDER CENTER","PASS","1","0","0","0","0","0","0","30","OWN","ARI","0","INTENTIONAL GROUNDING","10","Walt Coleman"
2016-10-30,"4","13","18","ARI","CAR","2","19","45","27","SHOTGUN","PASS","0","0","0","0","0","0","0","45","OWN","ARI","1","ILLEGAL USE OF HANDS","10","Walt Coleman"
2016-10-30,"2","0","20","ARI","CAR","0","0","35","0","UNDER CENTER","KICK OFF","0","0","0","0","0","0","0","35","OWN","ARI","0","OFFSIDE ON FREE KICK","5","Walt Coleman"
2016-10-30,"2","13","7","CAR","ARI","3","6","89","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","11","OPP","CAR","1","FALSE START","5","Walt Coleman"
2016-10-30,"4","10","38","CAR","ARI","3","9","28","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","28","OWN","CAR","1","DELAY OF GAME","5","Walt Coleman"
2015-09-20,"3","12","41","CHI","ARI","2","8","22","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","22","OWN","CHI","1","FALSE START","5","Jerome Boger"
2015-09-20,"2","1","4","CHI","ARI","4","10","78","0","FIELD GOAL","FIELD GOAL","0","0","0","0","0","0","0","22","OPP","ARI","0","DEFENSIVE OFFSIDE","0","Jerome Boger"
2015-09-20,"2","3","51","ARI","CHI","0","0","85","0","UNDER CENTER","EXTRA POINT","0","0","0","0","0","0","0","15","OPP","CHI","0","DEFENSIVE OFFSIDE","5","Jerome Boger"
2015-09-20,"4","10","13","ARI","CHI","4","5","58","0","UNDER CENTER","NO PLAY","0","0","0","0","0","0","0","42","OPP","ARI","1","DELAY OF GAME","5","Jerome Boger"
2015-09-20,"1","2","6","ARI","CHI","2","10","47","0","UNDER CENTER","PASS","1","0","0","0","0","0","0","47","OWN","CHI","1","DEFENSIVE PASS INTERFERENCE",NA,"Jerome Boger"
2015-09-20,"3","0","39","CHI","ARI","1","15","51","5","SHOTGUN","PASS","0","0","0","0","0","0","0","49","OPP","CHI","1","OFFENSIVE HOLDING","10","Jerome Boger"
2015-09-20,"2","5","30","ARI","CHI","2","10","46","0","SHOTGUN","PASS","1","0","0","0","0","0","0","46","OWN","CHI","1","DEFENSIVE PASS INTERFERENCE","38","Jerome Boger"
2015-09-20,"4","14","18","ARI","CHI","1","10","19","0","UNDER CENTER","PASS","1","0","0","0","0","0","0","19","OWN","CHI","1","ILLEGAL CONTACT","5","Jerome Boger"
2015-09-20,"3","4","54","CHI","ARI","1","10","62","12","NO HUDDLE","RUSH","0","0","0","0","0","0","0","38","OPP","CHI","0","OFFENSIVE HOLDING","10","Jerome Boger"
2015-09-20,"3","12","49","ARI","CHI","2","6","72","28","UNDER CENTER","PASS","0","1","0","0","0","0","0","28","OPP","CHI","0","ROUGHING THE PASSER","15","Jerome Boger"
