YardLine,PenaltyTeam,PenaltyType,Referee,TeamType
12,DET,INTENTIONAL GROUNDING,Walt Anderson,Offense
98,DET,OFFENSIVE PASS INTERFERENCE,Walt Anderson,Offense
35,ARI,FALSE START,Walt Anderson,Offense
83,ARI,OFFENSIVE HOLDING,Walt Anderson,Offense
41,ARI,OFFENSIVE HOLDING,Walt Anderson,Offense
71,DET,DEFENSIVE PASS INTERFERENCE,Walt Anderson,Defense
15,ARI,DEFENSIVE HOLDING,Terry McAulay,Defense
58,ARI,DEFENSIVE 12 ON-FIELD,Terry McAulay,Defense
25,GB,FACE MASK (15 YARDS),Terry McAulay,Offense
40,ARI,DEFENSIVE PASS INTERFERENCE,Terry McAulay,Defense
76,GB,DEFENSIVE HOLDING,Terry McAulay,Defense
43,ARI,ILLEGAL USE OF HANDS,Terry McAulay,Offense
90,GB,ILLEGAL USE OF HANDS,Terry McAulay,Offense
38,GB,OFFENSIVE HOLDING,Terry McAulay,Offense
35,GB,OFFENSIVE HOLDING,Terry McAulay,Defense
30,GB,OFFENSIVE HOLDING,Terry McAulay,Offense
56,ARI,DEFENSIVE OFFSIDE,Terry McAulay,Defense
61,GB,OFFENSIVE HOLDING,Terry McAulay,Offense
20,ARI,DEFENSIVE 12 ON-FIELD,Terry McAulay,Defense
51,GB,FALSE START,Terry McAulay,Offense
72,ARI,ROUGHING THE PASSER,Terry McAulay,Defense
9,GB,FACE MASK (15 YARDS),Terry McAulay,Offense
2,GB,DELAY OF GAME,Terry McAulay,Offense
87,ARI,UNSPORTSMANLIKE CONDUCT,Terry McAulay,Defense
55,ARI,FALSE START,Terry McAulay,Offense
11,ARI,ROUGHING THE PASSER,Terry McAulay,Defense
38,HOU,OFFENSIVE HOLDING,Ed Hochuli,Defense
67,ARI,ILLEGAL FORMATION,Ed Hochuli,Offense
42,ARI,FALSE START,Ed Hochuli,Offense
60,ARI,OFFENSIVE HOLDING,Ed Hochuli,Offense
62,ARI,UNNECESSARY ROUGHNESS,Ed Hochuli,Defense
29,ARI,DEFENSIVE HOLDING,Ed Hochuli,Defense
85,ARI,ILLEGAL FORMATION,Ed Hochuli,Defense
20,HOU,FACE MASK (15 YARDS),Ed Hochuli,Defense
34,HOU,OFFENSIVE HOLDING,Ed Hochuli,Defense
19,HOU,OFFENSIVE PASS INTERFERENCE,Ed Hochuli,Offense
60,ARI,CHOP BLOCK,Ed Hochuli,Offense
25,ARI,OFFENSIVE HOLDING,Ed Hochuli,Offense
25,ARI,ILLEGAL BLOCK ABOVE THE WAIST,Ed Hochuli,Defense
37,ARI,ILLEGAL CONTACT,Ed Hochuli,Defense
57,HOU,DEFENSIVE PASS INTERFERENCE,Ed Hochuli,Defense
25,ARI,FALSE START,Ed Hochuli,Offense
3,HOU,ILLEGAL BLOCK ABOVE THE WAIST,Ed Hochuli,Offense
6,HOU,ILLEGAL SHIFT,Ed Hochuli,Offense
46,ARI,ILLEGAL CRACKBACK,Ed Hochuli,Offense
31,HOU,DEFENSIVE PASS INTERFERENCE,Ed Hochuli,Defense
1,HOU,FALSE START,Ed Hochuli,Offense
10,IND,DEFENSIVE HOLDING,Carl Cheffers,Offense
72,IND,DEFENSIVE 12 ON-FIELD,Carl Cheffers,Defense
18,IND,ROUGHING THE PASSER,Carl Cheffers,Defense
96,ARI,FALSE START,Carl Cheffers,Offense
57,IND,OFFENSIVE HOLDING,Carl Cheffers,Offense
12,ARI,ENCROACHMENT,Carl Cheffers,Defense
41,IND,DEFENSIVE OFFSIDE,Carl Cheffers,Defense
13,IND,OFFENSIVE HOLDING,Carl Cheffers,Offense
93,IND,FALSE START,Carl Cheffers,Offense
90,ARI,ILLEGAL MOTION,Carl Cheffers,Offense
61,IND,FALSE START,Carl Cheffers,Offense
19,ARI,NEUTRAL ZONE INFRACTION,Carl Cheffers,Defense
89,ARI,LEVERAGE,Carl Cheffers,Defense
31,IND,UNNECESSARY ROUGHNESS,Carl Cheffers,Offense
35,IND,OFFENSIVE HOLDING,Carl Cheffers,Defense
35,ARI,OFFENSIVE HOLDING,Carl Cheffers,Defense
37,ARI,OFFENSIVE HOLDING,Carl Cheffers,Offense
24,IND,FALSE START,Carl Cheffers,Offense
54,ARI,FACE MASK (15 YARDS),Jeff Triplette,Defense
37,JAX,FALSE START,Jeff Triplette,Offense
62,JAX,FALSE START,Jeff Triplette,Offense
50,JAX,FALSE START,Jeff Triplette,Offense
42,JAX,OFFENSIVE HOLDING,Jeff Triplette,Offense
97,ARI,UNSPORTSMANLIKE CONDUCT,Jeff Triplette,Defense
32,JAX,TRIPPING,Jeff Triplette,Offense
37,JAX,FALSE START,Jeff Triplette,Offense
47,ARI,ROUGHING THE PASSER,Clete Blakeman,Defense
21,ARI,FALSE START,Clete Blakeman,Offense
17,ARI,ROUGHING THE PASSER,Clete Blakeman,Defense
23,ARI,FALSE START,Clete Blakeman,Offense
61,ARI,DEFENSIVE 12 ON-FIELD,Clete Blakeman,Defense
35,ARI,ROUGHING THE PASSER,Clete Blakeman,Defense
40,JAX,ROUGHING THE PASSER,Clete Blakeman,Defense
16,ARI,FALSE START,Clete Blakeman,Offense
18,JAX,ILLEGAL CONTACT,Clete Blakeman,Defense
25,ARI,DEFENSIVE PASS INTERFERENCE,Clete Blakeman,Defense
35,ARI,DELAY OF GAME,Clete Blakeman,Offense
35,ARI,ILLEGAL BLOCK ABOVE THE WAIST,Clete Blakeman,Defense
25,JAX,FALSE START,Clete Blakeman,Offense
32,JAX,ILLEGAL SHIFT,Clete Blakeman,Offense
45,JAX,HORSE COLLAR TACKLE,Clete Blakeman,Defense
36,KC,FALSE START,Craig Wrolstad,Offense
33,KC,OFFENSIVE HOLDING,Craig Wrolstad,Offense
87,KC,FALSE START,Craig Wrolstad,Offense
66,KC,OFFENSIVE HOLDING,Craig Wrolstad,Offense
81,KC,OFFENSIVE PASS INTERFERENCE,Craig Wrolstad,Offense
75,KC,FALSE START,Craig Wrolstad,Offense
26,ARI,ILLEGAL CONTACT,Craig Wrolstad,Defense
61,ARI,DELAY OF GAME,Craig Wrolstad,Offense
78,ARI,ILLEGAL MOTION,Craig Wrolstad,Offense
76,ARI,FALSE START,Craig Wrolstad,Offense
25,ARI,ROUGHING THE PASSER,Craig Wrolstad,Defense
26,KC,OFFENSIVE HOLDING,Craig Wrolstad,Defense
38,ARI,FALSE START,Craig Wrolstad,Offense
60,KC,OFFENSIVE HOLDING,Craig Wrolstad,Offense
25,KC,ROUGHING THE PASSER,Craig Wrolstad,Defense
71,KC,DEFENSIVE HOLDING,Craig Wrolstad,Defense
84,ARI,ILLEGAL FORMATION,Craig Wrolstad,Offense
87,LAC,DELAY OF GAME,Bill Vinovich,Offense
8,ARI,FALSE START,Bill Vinovich,Offense
20,ARI,ILLEGAL USE OF HANDS,Bill Vinovich,Defense
9,ARI,FALSE START,Bill Vinovich,Offense
