Date,Tm,Opp,Pos,PtsO,Pen,Yds,Pts,Pen,Yds
September 12 2010,Philadelphia Eagles,Green Bay Packers,Referee,27,2,15,20,10,80
September 19 2010,Tennessee Titans,Pittsburgh Steelers,Referee,19,5,35,11,11,72
September 26 2010,New England Patriots,Buffalo Bills,Referee,30,6,45,38,4,35
October 3 2010,New Orleans Saints,Carolina Panthers,Referee,14,4,66,16,4,36
October 10 2010,Cleveland Browns,Atlanta Falcons,Referee,20,6,60,10,7,58
October 17 2010,Washington Redskins,Indianapolis Colts,Referee,27,3,15,24,7,53
October 25 2010,Dallas Cowboys,New York Giants,Referee,41,6,46,35,5,42
November 7 2010,Baltimore Ravens,Miami Dolphins,Referee,10,4,23,26,5,40
November 21 2010,San Francisco 49ers,Tampa Bay Buccaneers,Referee,21,3,35,0,3,18
November 28 2010,Buffalo Bills,Pittsburgh Steelers,Referee,19,10,107,16,4,20
December 5 2010,San Diego Chargers,Oakland Raiders,Referee,28,13,105,13,3,19
December 9 2010,Tennessee Titans,Indianapolis Colts,Referee,30,7,60,28,5,29
December 19 2010,New York Giants,Philadelphia Eagles,Referee,38,5,30,31,4,35
December 26 2010,Cleveland Browns,Baltimore Ravens,Referee,20,1,5,10,2,20
January 2 2011,Atlanta Falcons,Carolina Panthers,Referee,10,10,97,31,4,20
January 15 2011,Atlanta Falcons,Green Bay Packers,Referee,48,6,65,21,7,32
September 18 2011,Miami Dolphins,Houston Texans,Referee,23,4,76,13,3,20
September 25 2011,Tennessee Titans,Denver Broncos,Referee,14,1,15,17,11,80
October 2 2011,Dallas Cowboys,Detroit Lions,Referee,34,10,75,30,7,33
October 9 2011,Carolina Panthers,New Orleans Saints,Referee,30,9,82,27,7,65
October 16 2011,Cincinnati Bengals,Indianapolis Colts,Referee,17,2,11,27,11,111
October 23 2011,Arizona Cardinals,Pittsburgh Steelers,Referee,32,9,69,20,9,74
November 6 2011,Oakland Raiders,Denver Broncos,Referee,38,11,93,24,15,130
November 13 2011,Tampa Bay Buccaneers,Houston Texans,Referee,37,8,54,9,6,49
November 20 2011,Atlanta Falcons,Tennessee Titans,Referee,17,10,86,23,5,55
November 24 2011,Baltimore Ravens,San Francisco 49ers,Referee,6,7,97,16,3,20
December 4 2011,Washington Redskins,New York Jets,Referee,34,6,40,19,6,50
December 11 2011,Detroit Lions,Minnesota Vikings,Referee,28,5,37,34,10,76
December 18 2011,Buffalo Bills,Miami Dolphins,Referee,30,5,62,23,11,92
December 25 2011,Green Bay Packers,Chicago Bears,Referee,21,6,28,35,0,0
January 1 2012,Jacksonville Jaguars,Indianapolis Colts,Referee,13,4,40,19,1,10
January 14 2012,San Francisco 49ers,New Orleans Saints,Referee,32,0,0,36,3,33
February 5 2012,New York Giants,New England Patriots,Referee,17,5,28,21,4,24
September 30 2012,Buffalo Bills,New England Patriots,Referee,52,1,10,28,3,17
October 4 2012,St. Louis Rams,Arizona Cardinals,Referee,3,5,35,17,7,60
October 14 2012,San Francisco 49ers,New York Giants,Referee,26,2,20,3,6,35
October 28 2012,Detroit Lions,Seattle Seahawks,Referee,24,2,10,28,5,61
November 4 2012,Atlanta Falcons,Dallas Cowboys,Referee,13,7,50,19,2,15
November 18 2012,New England Patriots,Indianapolis Colts,Referee,24,1,5,59,4,70
November 25 2012,New Orleans Saints,San Francisco 49ers,Referee,31,10,68,21,4,53
December 2 2012,Kansas City Chiefs,Carolina Panthers,Referee,21,7,45,27,1,5
December 9 2012,Washington Redskins,Baltimore Ravens,Referee,28,8,56,31,8,70
December 16 2012,Miami Dolphins,Jacksonville Jaguars,Referee,3,10,88,24,5,41
December 23 2012,Houston Texans,Minnesota Vikings,Referee,23,5,52,6,9,60
December 30 2012,San Diego Chargers,Oakland Raiders,Referee,21,9,67,24,8,60
September 8 2013,Detroit Lions,Minnesota Vikings,Referee,24,5,52,34,11,88
September 15 2013,Seattle Seahawks,San Francisco 49ers,Referee,3,12,121,29,10,84
September 22 2013,Baltimore Ravens,Houston Texans,Referee,9,14,113,30,10,87
September 29 2013,Jacksonville Jaguars,Indianapolis Colts,Referee,37,7,58,3,9,65
October 6 2013,Arizona Cardinals,Carolina Panthers,Referee,6,9,79,22,3,30
October 10 2013,Chicago Bears,New York Giants,Referee,21,4,31,27,5,51
October 20 2013,Philadelphia Eagles,Dallas Cowboys,Referee,17,12,75,3,5,33
October 27 2013,Oakland Raiders,Pittsburgh Steelers,Referee,18,3,12,21,6,39
November 10 2013,Tennessee Titans,Jacksonville Jaguars,Referee,29,4,19,27,6,45
November 17 2013,Denver Broncos,Kansas City Chiefs,Referee,17,9,53,27,13,82
November 25 2013,Washington Redskins,San Francisco 49ers,Referee,27,4,25,6,4,30
December 1 2013,San Diego Chargers,Cincinnati Bengals,Referee,17,3,30,10,5,45
December 8 2013,Pittsburgh Steelers,Miami Dolphins,Referee,34,5,36,28,9,63
December 22 2013,St. Louis Rams,Tampa Bay Buccaneers,Referee,13,3,26,23,7,85
December 29 2013,Atlanta Falcons,Carolina Panthers,Referee,21,4,38,20,5,56
September 4 2014,Seattle Seahawks,Green Bay Packers,Referee,16,8,65,36,4,69
September 14 2014,New York Giants,Arizona Cardinals,Referee,25,7,71,14,9,70
September 21 2014,Buffalo Bills,San Diego Chargers,Referee,22,6,44,10,11,110
September 29 2014,Kansas City Chiefs,New England Patriots,Referee,14,3,30,41,4,35
October 12 2014,Minnesota Vikings,Detroit Lions,Referee,17,5,40,3,9,60
October 19 2014,Denver Broncos,San Francisco 49ers,Referee,17,6,62,42,8,75
October 26 2014,Pittsburgh Steelers,Indianapolis Colts,Referee,34,5,43,51,10,59
November 2 2014,Houston Texans,Philadelphia Eagles,Referee,31,7,55,21,9,54
November 9 2014,Jacksonville Jaguars,Dallas Cowboys,Referee,31,9,65,17,2,19
November 20 2014,Oakland Raiders,Kansas City Chiefs,Referee,20,7,59,24,7,60
November 30 2014,Indianapolis Colts,Washington Redskins,Referee,27,10,78,49,10,94
December 7 2014,Miami Dolphins,Baltimore Ravens,Referee,28,7,36,13,6,30
December 14 2014,Tennessee Titans,New York Jets,Referee,16,7,46,11,9,76
December 21 2014,New Orleans Saints,Atlanta Falcons,Referee,30,6,64,14,3,25
December 28 2014,Houston Texans,Jacksonville Jaguars,Referee,17,4,25,23,6,55
September 13 2015,Buffalo Bills,Indianapolis Colts,Referee,14,5,49,27,11,113
September 20 2015,Jacksonville Jaguars,Miami Dolphins,Referee,20,13,112,23,9,93
September 28 2015,Green Bay Packers,Kansas City Chiefs,Referee,28,7,38,38,12,89
October 4 2015,Arizona Cardinals,St. Louis Rams,Referee,24,7,66,22,3,20
October 11 2015,Cincinnati Bengals,Seattle Seahawks,Referee,24,10,112,27,7,50
October 18 2015,San Francisco 49ers,Baltimore Ravens,Referee,20,3,15,25,4,25
October 25 2015,New York Giants,Dallas Cowboys,Referee,20,7,46,27,3,13
November 1 2015,Denver Broncos,Green Bay Packers,Referee,10,2,15,29,11,93
November 15 2015,Washington Redskins,New Orleans Saints,Referee,14,7,50,47,5,26
November 22 2015,Houston Texans,New York Jets,Referee,17,7,54,24,3,54
November 26 2015,Detroit Lions,Philadelphia Eagles,Referee,14,2,30,45,4,29
December 6 2015,Miami Dolphins,Baltimore Ravens,Referee,13,5,36,15,5,31
December 13 2015,Cincinnati Bengals,Pittsburgh Steelers,Referee,33,5,82,20,4,27
December 27 2015,Atlanta Falcons,Carolina Panthers,Referee,13,4,40,20,3,20
January 3 2016,Dallas Cowboys,Washington Redskins,Referee,34,3,20,23,4,44
January 9 2016,Cincinnati Bengals,Pittsburgh Steelers,Referee,18,10,142,16,8,79
September 11 2016,New Orleans Saints,Oakland Raiders,Referee,35,14,141,34,7,53
September 18 2016,Carolina Panthers,San Francisco 49ers,Referee,27,6,50,46,8,50
September 25 2016,Cincinnati Bengals,Denver Broncos,Referee,29,5,41,17,9,69
